Jun 25, 2026  10:34:19 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Jun 25, 2026  10:34:19 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

459.140,   5.7277E-008,   3.4424E-006,   3.1512E-011,   1.7698E-011,   1.8275E-011,   2.9295E-009,   1.4011E-009,   4.8957E-013,   4.2947E-012,   6.6953E-012,  
465.187,   6.0042E-008,   3.4773E-006,   2.7921E-011,   1.7467E-011,   1.7644E-011,   3.0036E-009,   1.2855E-009,   4.9492E-013,   8.4734E-012,   9.0334E-013,  
471.234,   5.9491E-008,   3.4618E-006,   2.9500E-011,   1.7172E-011,   1.7518E-011,   3.2746E-009,   1.4047E-009,   4.0485E-013,   9.2011E-012,   5.9453E-012,  
477.265,   5.9920E-008,   3.4615E-006,   3.1257E-011,   1.8636E-011,   1.7902E-011,   2.9630E-009,   1.5474E-009,   3.2014E-013,   5.1784E-012,   6.1700E-012,  
483.328,   6.0571E-008,   3.4507E-006,   9.3090E-012,   1.8625E-011,   1.7983E-011,   2.7534E-009,   1.6748E-009,   4.1020E-013,   7.1135E-012,   5.6501E-012,  
489.359,   5.8967E-008,   3.4343E-006,   2.8400E-011,   1.8417E-011,   1.7895E-011,   3.0235E-009,   1.3478E-009,   3.4957E-013,   5.9738E-012,   7.2945E-013,  
495.422,   5.9042E-008,   3.4500E-006,   2.9245E-011,   1.8014E-011,   1.8079E-011,   2.9124E-009,   1.8193E-009,   4.6639E-013,   9.0049E-012,   5.2319E-012,  
501.515,   6.3026E-008,   3.4369E-006,   9.6559E-012,   1.8477E-011,   1.8780E-011,   2.8826E-009,   1.3351E-009,   2.2294E-013,   4.2429E-012,   5.7277E-012,  
507.547,   6.2114E-008,   3.4558E-006,   2.9997E-011,   1.7722E-011,   1.8524E-011,   2.8997E-009,   1.2855E-009,   1.5606E-013,   4.5666E-012,   6.5267E-012,  
513.547,   5.7780E-008,   3.4453E-006,   8.5938E-012,   1.8247E-011,   1.7224E-011,   2.8121E-009,   1.3948E-009,   3.1390E-013,   4.3687E-012,   1.0032E-012,  
519.547,   5.7472E-008,   3.4431E-006,   3.0200E-011,   1.8054E-011,   1.8271E-011,   2.9946E-009,   1.3351E-009,   5.8945E-013,   4.6148E-012,   6.9342E-012,  
525.594,   5.6913E-008,   3.4224E-006,   9.6282E-012,   1.7841E-011,   1.8335E-011,   2.8609E-009,   1.4182E-009,   3.4600E-013,   4.8128E-012,   7.0484E-012,  
531.672,   5.8569E-008,   3.4300E-006,   2.8877E-011,   1.9294E-011,   1.8085E-011,   2.9810E-009,   1.5140E-009,   6.4741E-013,   7.8055E-012,   7.0359E-012,  
537.703,   5.7996E-008,   3.4255E-006,   3.0571E-011,   1.8442E-011,   1.7781E-011,   2.6360E-009,   1.3451E-009,   5.1632E-013,   4.4935E-012,   1.2511E-012,  
543.750,   5.6656E-008,   3.4414E-006,   3.1476E-011,   1.7389E-011,   1.7773E-011,   3.0063E-009,   1.2683E-009,   5.9301E-013,   4.8039E-012,   6.1914E-012,  
549.781,   5.5528E-008,   3.4303E-006,   2.8886E-011,   1.9196E-011,   1.8766E-011,   3.2304E-009,   1.3351E-009,   7.2080E-012,   8.3396E-012,   6.5249E-012,  
555.781,   5.5959E-008,   3.4193E-006,   3.0156E-011,   1.8257E-011,   1.8583E-011,   2.6938E-009,   1.2421E-009,   5.0919E-013,   7.7894E-012,   2.4880E-013,  
561.844,   5.7864E-008,   3.4504E-006,   2.7914E-011,   1.8267E-011,   1.8228E-011,   3.3415E-009,   1.2656E-009,   5.5199E-013,   8.9496E-012,   5.9043E-012,  
567.875,   5.7222E-008,   3.4347E-006,   2.8261E-011,   1.8545E-011,   1.7488E-011,   3.1960E-009,   1.4273E-009,   2.3631E-013,   4.1796E-012,   5.9613E-012,  
573.937,   5.8883E-008,   3.4435E-006,   2.9363E-011,   1.7708E-011,   1.8509E-011,   2.8609E-009,   1.3812E-009,   5.1097E-013,   7.7217E-012,   6.2708E-012,  
579.937,   5.5240E-008,   3.4365E-006,   2.7645E-011,   1.8658E-011,   1.8589E-011,   3.2520E-009,   1.3487E-009,   3.8345E-013,   4.3731E-012,   7.7431E-012,  
