Aug 14, 2026  10:22:39 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Aug 14, 2026  10:22:39 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  
718.188,   4.8926e-008  2.1102e-006  3.0362e-011  6.6983e-011  7.0196e-011  3.2159e-009  1.7945e-006  2.9347e-012  1.7413e-011  8.2255e-012 
724.219,   4.9874e-008  2.1908e-006  3.0548e-011  6.4910e-011  6.7758e-011  3.8130e-009  1.6550e-006  7.5888e-013  1.7929e-011  6.3323e-012 
730.250,   5.0529e-008  2.2456e-006  3.1223e-011  6.1581e-011  6.6731e-011  3.8392e-009  1.4850e-006  1.3260e-012  1.7229e-011  8.0632e-012 
736.266,   5.0652e-008  2.3317e-006  3.1368e-011  5.7613e-011  6.4021e-011  3.6802e-009  1.3133e-006  1.2832e-012  1.5423e-011  8.0320e-012 
742.297,   5.2087e-008  2.4044e-006  9.7780e-012  5.3357e-011  6.1836e-011  3.2358e-009  1.1408e-006  7.7404e-013  1.4464e-011  6.2610e-012 
748.344,   5.1824e-008  2.4621e-006  1.1313e-011  4.8404e-011  5.9134e-011  3.3875e-009  9.5070e-007  3.8167e-013  1.3618e-011  7.1777e-012 
754.344,   5.4379e-008  2.5190e-006  3.1015e-011  4.3722e-011  5.4521e-011  3.4417e-009  7.7336e-007  5.6894e-013  1.1967e-011  6.1174e-012 
760.406,   5.1884e-008  2.5894e-006  3.0787e-011  3.8438e-011  4.9172e-011  3.3911e-009  5.8772e-007  5.0295e-013  1.1376e-011  6.4197e-012 
766.422,   5.1375e-008  2.6131e-006  3.0130e-011  3.3897e-011  4.2194e-011  3.4246e-009  4.2851e-007  3.2103e-013  9.7326e-012  6.5874e-012 
772.438,   5.3861e-008  2.6445e-006  3.0639e-011  2.9692e-011  3.4964e-011  3.3505e-009  2.8900e-007  1.2039e-013  8.8961e-012  5.3006e-012 
778.484,   5.4499e-008  2.6546e-006  9.4882e-012  2.5415e-011  2.9437e-011  3.2999e-009  1.7640e-007  4.4855e-013  7.9285e-012  5.1989e-013 
