Jul 29, 2026  10:22:26 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Jul 29, 2026  10:22:26 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

362.000,   4.9023E-008,   2.4857E-006,   3.1875E-011,   2.0253E-011,   2.1654E-011,   3.4941E-009,   1.5547E-009,   4.8154E-013,   7.9491E-012,   2.6726E-012,  
368.062,   4.8692E-008,   2.4896E-006,   5.1811E-012,   2.0494E-011,   2.1329E-011,   3.4670E-009,   1.4688E-009,   1.9351E-013,   6.7354E-012,   7.8831E-013,  
374.125,   4.6900E-008,   2.4899E-006,  -1.1593E-014,   1.9816E-011,   2.0846E-011,   3.2285E-009,   1.4715E-009,   1.6587E-013,   6.3814E-012,   1.8013E-013,  
380.140,   4.8023E-008,   2.4769E-006,   3.1025E-011,   2.1866E-011,   2.2694E-011,   3.4074E-009,   1.4282E-009,   3.4154E-013,   6.6712E-012,   8.0436E-013,  
386.203,   4.3167E-008,   2.4609E-006,   4.5149E-012,   2.0632E-011,   2.0675E-011,   3.2954E-009,   1.6116E-009,   7.0002E-013,   8.2442E-012,   7.9812E-013,  
392.203,   4.3082E-008,   2.4751E-006,   1.2214E-011,   2.0732E-011,   2.0817E-011,   3.0985E-009,   1.6079E-009,   2.6307E-013,   8.0944E-012,   3.6651E-013,  
398.281,   4.8977E-008,   2.4768E-006,   7.1313E-012,   1.9380E-011,   2.2173E-011,   3.2005E-009,   1.2674E-009,   2.7555E-013,   8.4083E-012,   5.1811E-013,  
404.328,   4.6838E-008,   2.4749E-006,   3.0820E-011,   2.0458E-011,   2.0767E-011,   3.2132E-009,   1.3758E-009,   3.3351E-013,   7.0297E-012,   4.4855E-013,  
410.406,   4.6570E-008,   2.4760E-006,   3.0364E-011,   2.0120E-011,   2.1019E-011,   3.3261E-009,   1.4625E-009,   3.5581E-013,   7.8670E-012,   4.5479E-013,  
416.484,   4.4177E-008,   2.4678E-006,   7.2936E-012,   1.9956E-011,   2.1108E-011,   3.2322E-009,   1.3297E-009,   4.2626E-013,   7.3409E-012,   7.5620E-013,  
422.515,   4.2901E-008,   2.4608E-006,   6.8763E-012,   2.0069E-011,   2.1958E-011,   3.3252E-009,   1.5483E-009,   5.2702E-013,   7.9642E-012,   7.7493E-013,  
428.578,   4.4754E-008,   2.4767E-006,   3.1572E-011,   1.9905E-011,   2.1619E-011,   3.2764E-009,   1.3848E-009,   6.8486E-013,   6.2744E-012,   3.2727E-013,  
434.609,   4.2053E-008,   2.4539E-006,   7.6182E-012,   2.0071E-011,   2.1666E-011,   3.3749E-009,   1.3785E-009,   3.9326E-013,   9.2635E-012,   4.1377E-013,  
440.672,   4.4372E-008,   2.4671E-006,   3.2127E-011,   1.9706E-011,   2.1488E-011,   3.4237E-009,   1.3288E-009,   1.1771E-013,   6.8112E-012,   7.0894E-013,  
446.703,   4.4101E-008,   2.4925E-006,   4.0575E-013,   1.9610E-011,   2.1226E-011,   3.3695E-009,   1.7859E-009,   2.8090E-013,   8.7873E-012,   4.2893E-013,  
